bank	round	acc	pr_auc	loss	timestamp
bank_A_DATA	1	0.877900	0.220133	0.342573	2026-01-05T04:48:11.985319Z
bank_A_DATA	2	0.890100	0.273248	0.324576	2026-01-05T04:48:11.985353Z
bank_A_DATA	3	0.897650	0.322285	0.311479	2026-01-05T04:48:11.985362Z
bank_A_DATA	4	0.907100	0.379829	0.300175	2026-01-05T04:48:11.985369Z
bank_A_DATA	5	0.916000	0.470954	0.281526	2026-01-05T04:48:11.985376Z
bank_A_DATA	6	0.920650	0.508007	0.271345	2026-01-05T04:48:11.985382Z
bank_A_DATA	7	0.923550	0.551197	0.261906	2026-01-05T04:48:11.985389Z
bank_A_DATA	8	0.931650	0.609359	0.247992	2026-01-05T04:48:11.985396Z
bank_A_DATA	9	0.932600	0.636394	0.239727	2026-01-05T04:48:11.985403Z
bank_A_DATA	10	0.932950	0.647966	0.232298	2026-01-05T04:48:11.985410Z
