transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,is_fraud
C00001,2025-09-19 10:04,12.506195756327564,groceries,Jakarta,0,1,0
C00002,2025-09-19 10:09,13.335246469780627,retail,Jakarta,0,2,0
C00003,2025-09-19 10:10,13.928298918750842,groceries,Jakarta,0,3,0
C00004,2025-09-19 10:14,13.484744211744918,retail,Jakarta,0,1,0
C00005,2025-09-19 10:17,12.841802555220168,groceries,Jakarta,0,1,0
C00006,2025-09-19 10:20,14.2071099802108,retail,Bandung,0,1,0
C00007,2025-09-19 10:21,12.94157025196385,electronics,Jakarta,0,2,0
C00008,2025-09-19 10:26,12.482427051537451,groceries,Jakarta,0,3,0
C00009,2025-09-19 10:30,13.407057991843901,electronics,Jakarta,0,2,0
C00010,2025-09-19 10:33,12.613968131210047,retail,Bandung,0,2,0
C00011,2025-09-19 10:38,13.763812971335312,electronics,Bandung,0,3,0
C00012,2025-09-19 10:41,13.511360292805186,groceries,Jakarta,0,1,0
C00013,2025-09-19 10:43,14.15254620726732,electronics,Jakarta,0,3,0
C00014,2025-09-19 10:46,12.843915868154001,groceries,Bandung,0,1,0
C00015,2025-09-19 10:48,13.147810826984784,groceries,Jakarta,0,1,0
C00016,2025-09-19 10:51,13.887385538847663,travel,Bandung,0,3,0
C00017,2025-09-19 10:53,13.90370456870019,electronics,Jakarta,0,2,0
C00018,2025-09-19 10:56,14.792323882920698,travel,Semaran,0,2,1
C00019,2025-09-19 10:58,14.147994136167439,groceries,Bandung,0,1,0
C00020,2025-09-19 11:03,14.071996811493557,travel,Jakarta,0,2,0
C00021,2025-09-19 11:06,13.7910692887845,retail,Bandung,0,3,0
C00022,2025-09-19 11:07,13.964469211089106,groceries,Jakarta,0,1,0
C00023,2025-09-19 11:11,13.680044724085581,groceries,Jakarta,0,1,0
C00024,2025-09-19 11:14,13.57419030681714,groceries,Jakarta,0,1,0
C00025,2025-09-19 11:17,13.695154840798956,groceries,Jakarta,0,2,0
C00026,2025-09-19 11:18,14.07071308445222,retail,Bandung,0,3,0
C00027,2025-09-19 11:21,12.055104396394215,groceries,Jakarta,0,1,0
C00028,2025-09-19 11:25,13.983409439532181,electronics,Surabay,0,2,1
C00029,2025-09-19 11:26,13.580787724776288,groceries,Jakarta,0,3,0
C00030,2025-09-19 11:29,13.747749784275857,retail,Jakarta,0,2,0
C00031,2025-09-19 11:30,12.880194996231074,groceries,Jakarta,0,3,0
C00032,2025-09-19 11:31,13.781881382983796,retail,Bandung,0,3,0
C00033,2025-09-19 11:36,12.117454523871933,retail,Jakarta,0,3,0
C00034,2025-09-19 11:39,13.08596699207969,retail,Bandung,0,2,0
C00035,2025-09-19 11:44,13.555243891998028,groceries,Bandung,0,1,0
C00036,2025-09-19 11:46,12.287601939993513,retail,Jakarta,0,3,0
C00037,2025-09-19 11:47,13.820905976481182,groceries,Jakarta,0,2,0
C00038,2025-09-19 11:48,13.679139709325913,groceries,Jakarta,0,1,0
C00039,2025-09-19 11:53,13.724706908481265,retail,Jakarta,0,3,0
C00040,2025-09-19 11:58,13.645273686331336,groceries,Jakarta,0,2,0
C00041,2025-09-19 12:03,13.895590803394798,groceries,Jakarta,0,3,0
