bank	round	acc	pr_auc	loss	timestamp
bank_F_DATA	1	0.909333	0.184413	0.270440	2026-01-05T05:57:58.050495Z
bank_F_DATA	2	0.923267	0.268196	0.249632	2026-01-05T05:57:58.050530Z
bank_F_DATA	3	0.935667	0.364691	0.230508	2026-01-05T05:57:58.050536Z
bank_F_DATA	4	0.949600	0.549545	0.210264	2026-01-05T05:57:58.050542Z
bank_F_DATA	5	0.955800	0.649274	0.194687	2026-01-05T05:57:58.050546Z
bank_F_DATA	6	0.962467	0.761335	0.178807	2026-01-05T05:57:58.050549Z
bank_F_DATA	7	0.967467	0.838047	0.164970	2026-01-05T05:57:58.050553Z
bank_F_DATA	8	0.973133	0.902581	0.149799	2026-01-05T05:57:58.050557Z
bank_F_DATA	9	0.975133	0.934421	0.138654	2026-01-05T05:57:58.050560Z
bank_F_DATA	10	0.979600	0.957001	0.126911	2026-01-05T05:57:58.050563Z
