transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,is_fraud
F00001,2025-09-19 11:37,12.497943433053408,groceries,Bogor,0,1,0
F00002,2025-09-19 11:40,13.710658801755297,syariah_invest,Online,0,2,0
F00003,2025-09-19 11:44,14.408435665097482,retail,Online,0,3,0
F00004,2025-09-19 11:50,13.893851202565312,retail,Depok,0,1,0
F00005,2025-09-19 11:58,13.045907728536012,syariah_invest,Bogor,0,1,0
F00006,2025-09-19 12:05,14.716693337291408,e-commerce,Depok,0,1,0
F00007,2025-09-19 12:13,13.190222005880809,retail,Online,0,2,0
F00008,2025-09-19 12:18,12.454010267702325,groceries,Depok,0,3,0
F00009,2025-09-19 12:26,13.799425890481839,retail,Bogor,0,2,0
F00010,2025-09-19 12:30,12.687096577559355,groceries,Bekasi,0,2,0
F00011,2025-09-19 12:33,14.221745369774528,umkm_payment,Bogor,0,3,0
F00012,2025-09-19 12:41,13.925850853908992,retail,Depok,0,1,0
F00013,2025-09-19 12:47,14.657056191686113,umkm_payment,Bekasi,0,3,0
F00014,2025-09-19 12:50,13.049033256492029,e-commerce,Bogor,0,1,0
F00015,2025-09-19 12:55,13.471006956097085,groceries,Bekasi,0,1,0
F00016,2025-09-19 12:59,14.362379158916804,syariah_invest,Bogor,0,3,0
F00017,2025-09-19 13:04,14.380778343227984,groceries,Bogor,0,2,0
F00018,2025-09-19 13:11,13.746867625241611,zakat,Bogor,0,2,0
F00019,2025-09-19 13:14,14.652066934619388,retail,Bogor,0,1,0
F00020,2025-09-19 13:22,14.568439181435798,umkm_payment,Depok,0,2,0
F00021,2025-09-19 13:30,14.252973562501255,umkm_payment,Bogor,0,3,0
F00022,2025-09-19 13:36,14.448958688234276,retail,Online,0,1,0
F00023,2025-09-19 13:40,14.124958036084234,zakat,Bekasi,0,1,0
F00024,2025-09-19 13:44,14.000725425096183,umkm_payment,Online,0,1,0
F00025,2025-09-19 13:52,14.142510213877257,zakat,Bekasi,0,2,0
F00026,2025-09-19 13:57,14.567020981821134,zakat,Depok,0,3,0
F00027,2025-09-19 14:00,11.406219600291667,retail,Bekasi,0,1,0
