transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,is_fraud
G00001,2025-09-19 12:06,270004.0,retail,Bandung,0,1,0
G00002,2025-09-19 12:13,618619.0,groceries,Bekasi,0,2,0
G00003,2025-09-19 12:22,1119394.0,groceries,Unknown,0,3,0
G00004,2025-09-19 12:31,718372.0,retail,Jakarta,0,1,0
G00005,2025-09-19 12:34,377679.0,retail,Online,0,1,0
G00006,2025-09-19 12:41,1479344.0,travel,Jakarta,0,1,0
G00007,2025-09-19 12:44,417303.0,retail,Jakarta,0,2,0
G00008,2025-09-19 12:47,263662.0,groceries,Jakarta,0,3,0
G00009,2025-09-19 12:51,664677.0,retail,Jakarta,0,2,0
G00010,2025-09-19 12:55,300729.0,groceries,Jakarta,0,2,0
G00011,2025-09-19 12:58,949615.0,e-commerce,Unknown,0,3,0
G00012,2025-09-19 13:04,737749.0,electronics,Bandung,0,1,0
G00013,2025-09-19 13:10,1400788.0,groceries,Bekasi,0,3,0
G00014,2025-09-19 13:16,378478.0,groceries,Jakarta,0,1,0
G00015,2025-09-19 13:21,512886.0,groceries,Online,0,1,0
G00016,2025-09-19 13:28,1074520.0,electronics,Bandung,0,3,0
G00017,2025-09-19 13:31,1092199.0,retail,Bandung,0,2,0
G00018,2025-09-19 13:35,636914.0,travel,Unknown,0,2,0
G00019,2025-09-19 13:38,1394426.0,e-commerce,Bandung,0,1,0
G00020,2025-09-19 13:43,1292380.0,groceries,Unknown,0,2,0
G00021,2025-09-19 13:46,975854.0,groceries,Bandung,0,3,0
G00022,2025-09-19 13:53,1160624.0,travel,Unknown,0,1,0
G00023,2025-09-19 13:59,873308.0,retail,Online,0,1,0
G00024,2025-09-19 14:05,785589.0,electronics,Jakarta,0,1,0
G00025,2025-09-19 14:13,886604.0,retail,Jakarta,0,2,0
G00026,2025-09-19 14:17,1290722.0,travel,Bekasi,0,3,0
G00027,2025-09-19 14:20,171974.0,retail,Jakarta,0,1,0
G00028,2025-09-19 14:22,354844.0,e-commerce,Bandung,0,7,1
G00029,2025-09-19 14:30,790789.0,retail,Unknown,0,3,0
G00030,2025-09-19 14:33,934483.0,groceries,Bandung,0,2,0
G00031,2025-09-19 14:37,392461.0,retail,Bandung,0,3,0
G00032,2025-09-19 14:46,966929.0,retail,Bandung,0,3,0
G00033,2025-09-19 14:53,183038.0,e-commerce,Unknown,0,3,0
G00034,2025-09-19 15:01,482128.0,electronics,Bekasi,0,2,0
G00035,2025-09-19 15:06,770845.0,e-commerce,Bekasi,0,1,0
G00036,2025-09-19 15:13,216988.0,e-commerce,Jakarta,0,3,0
G00037,2025-09-19 15:16,1005409.0,retail,Jakarta,0,2,0
G00038,2025-09-19 15:25,872518.0,groceries,Bandung,0,1,0
G00039,2025-09-19 15:33,913196.0,groceries,Bekasi,0,3,0
G00040,2025-09-19 15:42,843464.0,electronics,Online,0,2,0
G00041,2025-09-19 15:48,1083373.0,groceries,Bandung,0,3,0
G00042,2025-09-19 15:51,1032375.0,electronics,Online,0,3,0
G00043,2025-09-19 15:57,1041094.0,electronics,Unknown,0,1,0
G00044,2025-09-19 16:02,437453.0,retail,Jakarta,0,3,0
G00045,2025-09-19 16:08,1077778.0,e-commerce,Online,0,3,0
G00046,2025-09-19 16:16,392518.0,electronics,Bandung,0,3,0
G00047,2025-09-19 16:20,178921.0,retail,Bandung,0,1,0
G00048,2025-09-19 16:26,1470186.0,e-commerce,Unknown,0,3,0
G00049,2025-09-19 16:31,391245.0,retail,Online,0,3,0
G00050,2025-09-19 16:39,303479.0,groceries,Bekasi,0,3,0
G00051,2025-09-19 16:46,559238.0,groceries,Bandung,0,2,0
G00052,2025-09-19 16:49,717794.0,e-commerce,Bandung,0,6,1
G00053,2025-09-19 16:52,1316702.0,electronics,Unknown,0,2,0
G00054,2025-09-19 17:01,1121968.0,e-commerce,Online,0,1,0
G00055,2025-09-19 17:10,403936.0,groceries,Jakarta,0,3,0
G00056,2025-09-19 17:15,999585.0,electronics,Bekasi,0,2,0
G00057,2025-09-19 17:18,1274329.0,e-commerce,Online,0,1,0
G00058,2025-09-19 17:21,608707.0,retail,Online,0,2,0
G00059,2025-09-19 17:30,499926.0,e-commerce,Bandung,0,1,0
G00060,2025-09-19 17:38,1321534.0,groceries,Bekasi,0,2,0
G00061,2025-09-19 17:47,327496.0,retail,Bekasi,0,2,0
G00062,2025-09-19 17:54,1378583.0,travel,Online,0,3,0
G00063,2025-09-19 18:03,796713.0,groceries,Bekasi,0,3,0
G00064,2025-09-19 18:10,1124543.0,retail,Bekasi,0,2,0
G00065,2025-09-19 18:19,652204.0,electronics,Jakarta,0,3,0
G00066,2025-09-19 18:28,1108349.0,retail,Jakarta,0,1,0
G00067,2025-09-19 18:35,1398652.0,groceries,Unknown,0,3,0
G00068,2025-09-19 18:40,815758.0,groceries,Bekasi,0,1,0
G00069,2025-09-19 18:41,855838.0,e-commerce,Unknown,0,4,1
G00070,2025-09-19 18:46,255077.0,retail,Jakarta,0,3,0
G00071,2025-09-19 18:51,1399682.0,e-commerce,Bandung,0,1,0
G00072,2025-09-19 18:56,1498689.0,e-commerce,Jakarta,0,1,0
G00073,2025-09-19 19:04,1029002.0,retail,Jakarta,0,3,0
G00074,2025-09-19 19:12,170999.0,e-commerce,Online,0,3,0
G00075,2025-09-19 19:16,1344638.0,retail,Online,0,3,0
G00076,2025-09-19 19:22,818786.0,travel,Online,0,1,0
G00077,2025-09-19 19:25,465624.0,electronics,Unknown,0,2,0
G00078,2025-09-19 19:31,645631.0,e-commerce,Jakarta,0,2,0
G00079,2025-09-19 19:34,1421496.0,retail,Unknown,0,3,0
G00080,2025-09-19 19:39,1197778.0,groceries,Unknown,0,3,0
G00081,2025-09-19 19:48,955916.0,e-commerce,Jakarta,0,3,0
G00082,2025-09-19 19:57,1143303.0,retail,Online,0,2,0
G00083,2025-09-19 20:03,1294377.0,retail,Online,0,1,0
G00084,2025-09-19 20:11,997867.0,groceries,Jakarta,0,3,0
G00085,2025-09-19 20:14,768779.0,e-commerce,Unknown,0,5,1
G00086,2025-09-19 20:23,250897.0,retail,Online,0,1,0
G00087,2025-09-19 20:30,316264.0,retail,Jakarta,0,1,0
G00088,2025-09-19 20:35,469746.0,electronics,Online,0,2,0
G00089,2025-09-19 20:41,1187598.0,travel,Bandung,0,1,0
G00090,2025-09-19 20:44,277113.0,groceries,Online,0,2,0
G00091,2025-09-19 20:48,321560.0,e-commerce,Bandung,0,1,0
G00092,2025-09-19 20:52,1471618.0,retail,Online,0,3,0
G00093,2025-09-19 20:57,690535.0,electronics,Jakarta,0,2,0
G00094,2025-09-19 21:05,322506.0,electronics,Bekasi,0,1,0
G00095,2025-09-19 21:10,1327845.0,retail,Unknown,0,3,0
G00096,2025-09-19 21:18,1455710.0,e-commerce,Online,0,2,0
G00097,2025-09-19 21:22,830581.0,retail,Jakarta,0,1,0
G00098,2025-09-19 21:27,302161.0,groceries,Jakarta,0,2,0
G00099,2025-09-19 21:31,997237.0,retail,Bekasi,0,3,0
G00100,2025-09-19 21:36,1314010.0,electronics,Jakarta,0,3,0
G00101,2025-09-19 21:40,1453365.0,groceries,Jakarta,0,2,0
G00102,2025-09-19 21:47,925750.0,e-commerce,Bekasi,0,3,0
G00103,2025-09-19 21:53,1424716.0,groceries,Jakarta,0,1,0
G00104,2025-09-19 21:57,1272829.0,groceries,Jakarta,0,3,0
G00105,2025-09-19 22:04,367842.0,e-commerce,Jakarta,0,3,0
G00106,2025-09-19 22:13,1005945.0,retail,Bekasi,0,2,0
G00107,2025-09-19 22:16,1048733.0,groceries,Jakarta,0,2,0
G00108,2025-09-19 22:20,1187930.0,retail,Bekasi,0,2,0
G00109,2025-09-19 22:25,867315.0,e-commerce,Unknown,0,1,0
G00110,2025-09-19 22:29,1136595.0,electronics,Bekasi,0,3,0
G00111,2025-09-19 22:34,938843.0,e-commerce,Unknown,0,3,0
G00112,2025-09-19 22:43,501252.0,electronics,Jakarta,0,3,0
G00113,2025-09-19 22:50,803500.0,retail,Unknown,0,1,0
G00114,2025-09-19 22:54,1412315.0,retail,Online,0,3,0
G00115,2025-09-19 23:01,1287661.0,e-commerce,Bandung,0,2,0
G00116,2025-09-19 23:10,1018922.0,retail,Bekasi,0,3,0
