bank	round	acc	pr_auc	loss	timestamp
bank_G	1	0.941333	0.091248	0.218388	2026-01-05T07:01:16.143806Z
bank_G	2	0.946000	0.132298	0.203683	2026-01-05T07:01:16.143848Z
bank_G	3	0.947867	0.135123	0.196531	2026-01-05T07:01:16.143857Z
bank_G	4	0.952733	0.214090	0.186034	2026-01-05T07:01:16.143864Z
bank_G	5	0.953600	0.259642	0.176903	2026-01-05T07:01:16.143870Z
bank_G	6	0.954800	0.315744	0.166312	2026-01-05T07:01:16.143877Z
bank_G	7	0.956800	0.386243	0.158050	2026-01-05T07:01:16.143883Z
bank_G	8	0.959333	0.466870	0.147838	2026-01-05T07:01:16.143889Z
bank_G	9	0.960000	0.511293	0.139811	2026-01-05T07:01:16.143896Z
bank_G	10	0.960933	0.569229	0.132295	2026-01-05T07:01:16.143902Z
