bank	round	acc	pr_auc	loss	timestamp
bank_H	1	0.931733	0.520944	0.204215	2026-01-05T07:38:10.183512Z
bank_H	2	0.941133	0.616874	0.188036	2026-01-05T07:38:10.183552Z
bank_H	3	0.946933	0.691054	0.174003	2026-01-05T07:38:10.183560Z
bank_H	4	0.950667	0.717202	0.166892	2026-01-05T07:38:10.183565Z
bank_H	5	0.955267	0.776715	0.153046	2026-01-05T07:38:10.183570Z
bank_H	6	0.960133	0.827522	0.142211	2026-01-05T07:38:10.183576Z
bank_H	7	0.965533	0.869651	0.131716	2026-01-05T07:38:10.183581Z
bank_H	8	0.968133	0.892367	0.122919	2026-01-05T07:38:10.183585Z
bank_H	9	0.971000	0.904382	0.116471	2026-01-05T07:38:10.183591Z
bank_H	10	0.972133	0.919862	0.109607	2026-01-05T07:38:10.183596Z
