bank	round	acc	pr_auc	loss	timestamp
bank_I	1	0.961417	0.127392	0.194513	2026-01-05T07:43:32.490219Z
bank_I	2	0.969167	0.213919	0.178071	2026-01-05T07:43:32.490248Z
bank_I	3	0.972583	0.299492	0.166721	2026-01-05T07:43:32.490254Z
bank_I	4	0.975667	0.404764	0.152928	2026-01-05T07:43:32.490258Z
bank_I	5	0.978417	0.527505	0.140796	2026-01-05T07:43:32.490262Z
bank_I	6	0.980583	0.603887	0.129986	2026-01-05T07:43:32.490265Z
bank_I	7	0.981250	0.639112	0.121239	2026-01-05T07:43:32.490269Z
bank_I	8	0.982833	0.731797	0.111855	2026-01-05T07:43:32.490272Z
bank_I	9	0.983750	0.805759	0.103264	2026-01-05T07:43:32.490276Z
bank_I	10	0.987833	0.879510	0.092393	2026-01-05T07:43:32.490279Z
