bank	round	acc	pr_auc	loss	timestamp
bank_K	1	0.938733	0.366943	0.286461	2026-01-05T07:57:59.024957Z
bank_K	2	0.947600	0.428442	0.270986	2026-01-05T07:57:59.025009Z
bank_K	3	0.949600	0.436375	0.258447	2026-01-05T07:57:59.025022Z
bank_K	4	0.959333	0.553608	0.248003	2026-01-05T07:57:59.025032Z
bank_K	5	0.961867	0.570273	0.238068	2026-01-05T07:57:59.025046Z
bank_K	6	0.963200	0.573368	0.228729	2026-01-05T07:57:59.025057Z
bank_K	7	0.966400	0.643219	0.219455	2026-01-05T07:57:59.025068Z
bank_K	8	0.968267	0.669891	0.209669	2026-01-05T07:57:59.025079Z
bank_K	9	0.970133	0.707350	0.201898	2026-01-05T07:57:59.025088Z
bank_K	10	0.970200	0.703679	0.195114	2026-01-05T07:57:59.025099Z
