transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,loan_tenor_months,is_fraud
L00001,2025-09-19 13:05,15.664169601980785,microfinance_loan,Sleman,0,0,12,0
L00002,2025-09-19 13:22,15.486047897124177,microfinance_loan,Bantul,0,0,6,0
L00003,2025-09-19 13:37,14.42808305604384,microfinance_loan,Sleman,0,0,24,0
L00004,2025-09-19 13:42,15.75751924907764,microfinance_loan,Sleman,0,0,12,0
L00005,2025-09-19 13:45,15.75458957070294,microfinance_loan,Bantul,0,0,12,0
L00006,2025-09-19 13:52,13.549398178079796,microfinance_loan,Sleman,0,0,12,0
L00007,2025-09-19 13:55,13.410303916450742,microfinance_loan,Gunungkidul,0,0,12,0
L00008,2025-09-19 14:07,14.553620109842653,microfinance_loan,Bantul,0,0,12,0
L00009,2025-09-19 14:22,15.549081965800168,microfinance_loan,Gunungkidul,0,0,12,0
L00010,2025-09-19 14:38,15.293772017012229,microfinance_loan,Bantul,0,0,24,0
L00011,2025-09-19 14:42,15.158882282258968,microfinance_loan,Magelang,0,0,12,0
L00012,2025-09-19 14:53,14.97827504315621,microfinance_loan,Sleman,0,0,12,0
L00013,2025-09-19 15:03,15.101361185109472,microfinance_loan,Gunungkidul,0,0,12,0
L00014,2025-09-19 15:13,15.351111599954802,microfinance_loan,Sleman,0,0,12,0
L00015,2025-09-19 15:29,13.726165551086364,microfinance_loan,Gunungkidul,0,0,24,0
L00016,2025-09-19 15:33,15.276826348908369,microfinance_loan,Gunungkidul,0,0,6,0
L00017,2025-09-19 15:37,14.475838531936196,microfinance_loan,Gunungkidul,0,0,12,0
L00018,2025-09-19 15:50,15.542185935035729,microfinance_loan,Sleman,0,0,36,0
L00019,2025-09-19 16:02,14.386561288457056,microfinance_loan,Sleman,0,0,12,0
L00020,2025-09-19 16:12,13.775593362323365,microfinance_loan,Gunungkidul,0,0,12,0
L00021,2025-09-19 16:17,15.017214490345763,microfinance_loan,Bantul,0,0,24,0
