bank	round	acc	pr_auc	loss	timestamp
bank_N	1	0.925050	0.908405	0.211432	2026-01-05T08:10:37.753777Z
bank_N	2	0.935050	0.925904	0.197902	2026-01-05T08:10:37.753864Z
bank_N	3	0.941300	0.927040	0.189464	2026-01-05T08:10:37.753875Z
bank_N	4	0.950350	0.933464	0.179726	2026-01-05T08:10:37.753880Z
bank_N	5	0.956950	0.940458	0.172109	2026-01-05T08:10:37.753885Z
bank_N	6	0.964900	0.953818	0.158316	2026-01-05T08:10:37.753889Z
bank_N	7	0.970300	0.961441	0.149611	2026-01-05T08:10:37.753894Z
bank_N	8	0.972000	0.954418	0.147726	2026-01-05T08:10:37.753898Z
bank_N	9	0.977600	0.963587	0.137339	2026-01-05T08:10:37.753902Z
bank_N	10	0.979350	0.968276	0.131488	2026-01-05T08:10:37.753906Z
