transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,is_fraud
A00001,2025-09-19 10:04,74101,retail,Online,0,4,0
A00002,2025-09-19 10:05,22489,e-commerce,Online,0,3,0
A00003,2025-09-19 10:09,81344,e-commerce,Online,0,1,0
A00004,2025-09-19 10:13,55658,e-commerce,Online,0,4,0
A00005,2025-09-19 10:13,34972,e-commerce,Online,0,5,1
A00006,2025-09-19 10:17,52641,e-commerce,Online,0,1,0
A00007,2025-09-19 10:18,46195,travel,Online,0,1,0
A00008,2025-09-19 10:19,38996,e-commerce,Online,0,1,0
A00009,2025-09-19 10:21,30378,retail,Online,0,4,0
A00010,2025-09-19 10:22,77317,retail,Online,0,3,0
A00011,2025-09-19 10:24,49226,e-commerce,Jakarta,0,3,0
A00012,2025-09-19 10:27,52208,subscription,Online,0,2,0
A00013,2025-09-19 10:31,80473,e-commerce,Online,0,2,0
A00014,2025-09-19 10:35,61056,retail,Online,0,3,0
A00015,2025-09-19 10:38,34690,e-commerce,Online,0,1,0
A00016,2025-09-19 10:39,75772,e-commerce,Online,0,3,0
A00017,2025-09-19 10:41,100644,e-commerce,Jakarta,0,1,0
A00018,2025-09-19 10:44,50863,e-commerce,Online,0,6,1
A00019,2025-09-19 10:47,44234,subscription,Online,0,1,0
A00020,2025-09-19 10:51,35758,e-commerce,Online,0,1,0
A00021,2025-09-19 10:51,43674,retail,Online,0,2,0
A00022,2025-09-19 10:55,62073,travel,Online,0,2,0
A00023,2025-09-19 10:55,98636,retail,Jakarta,0,3,0
A00024,2025-09-19 10:56,45900,e-commerce,Online,0,4,0
A00025,2025-09-19 10:57,47709,e-commerce,Online,0,3,0
A00026,2025-09-19 10:57,85606,retail,Online,0,2,0
A00027,2025-09-19 11:00,51436,e-commerce,Online,0,3,0
A00028,2025-09-19 11:01,52654,e-commerce,Online,0,4,1
A00029,2025-09-19 11:04,9951373,travel,International,1,1,0
A00030,2025-09-19 11:06,90104,e-commerce,Online,0,1,0
A00031,2025-09-19 11:08,68458,subscription,Online,0,1,0
A00032,2025-09-19 11:12,76687,retail,Online,0,1,0
A00033,2025-09-19 11:15,56276,subscription,Online,0,4,0
A00034,2025-09-19 11:19,57579,e-commerce,Online,0,2,0
A00035,2025-09-19 11:22,69329,subscription,Online,0,2,0
A00036,2025-09-19 11:24,79170,e-commerce,Online,0,2,0
A00037,2025-09-19 11:27,71978,e-commerce,Online,0,2,0
