transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,is_fraud
B00001,2025-09-19 10:07,49001646,B2B,Jakarta,0,1,0
B00002,2025-09-19 10:11,176827109,services,Jakarta,0,1,0
B00003,2025-09-19 10:17,360444778,B2B,Jakarta,0,2,0
B00004,2025-09-19 10:24,213403103,B2B,Jakarta,0,1,0
B00005,2025-09-19 10:28,88482628,services,Jakarta,0,1,0
B00006,2025-09-19 10:31,492426194,services,International,1,1,0
B00007,2025-09-19 10:36,103011310,B2B,Jakarta,0,2,0
B00008,2025-09-19 10:38,46676074,retail,Jakarta,0,2,0
B00009,2025-09-19 10:45,193714926,services,Jakarta,0,2,0
B00010,2025-09-19 10:47,60267307,services,Jakarta,0,1,0
B00011,2025-09-19 10:54,298192460,services,Jakarta,0,2,0
B00012,2025-09-19 10:59,220508318,services,Jakarta,0,1,0
B00013,2025-09-19 11:02,463622452,retail,Jakarta,0,2,0
B00014,2025-09-19 11:07,88775608,B2B,Jakarta,0,1,0
B00015,2025-09-19 11:12,138058304,B2B,Jakarta,0,1,0
B00016,2025-09-19 11:16,343990929,services,Jakarta,0,2,0
B00017,2025-09-19 11:20,350473248,B2B,Jakarta,0,2,0
B00018,2025-09-19 11:26,2628322519,services,International,1,2,1
B00019,2025-09-19 11:32,461289722,B2B,Jakarta,0,1,0
B00020,2025-09-19 11:33,423872694,services,Jakarta,0,1,0
B00021,2025-09-19 11:39,307813143,services,Jakarta,0,2,0
B00022,2025-09-19 11:44,375562221,services,International,1,1,0
B00023,2025-09-19 11:48,270213217,B2B,Jakarta,0,1,0
B00024,2025-09-19 11:53,238049363,services,Jakarta,0,1,0
B00025,2025-09-19 11:56,275088249,B2B,Jakarta,0,1,0
B00026,2025-09-19 12:03,423264798,retail,Jakarta,0,2,0
B00027,2025-09-19 12:07,13057165,B2B,Jakarta,0,1,0
B00028,2025-09-19 12:09,1617337491,B2B,International,1,2,1
B00029,2025-09-19 12:13,239956098,B2B,Jakarta,0,2,0
B00030,2025-09-19 12:16,292644007,services,Jakarta,0,1,0
B00031,2025-09-19 12:18,93902405,retail,Jakarta,0,2,0
B00032,2025-09-19 12:22,304540818,services,Jakarta,0,2,0
B00033,2025-09-19 12:24,17114118,travel,Jakarta,0,2,0
B00034,2025-09-19 12:28,126780451,B2B,Jakarta,0,1,0
B00035,2025-09-19 12:29,29562556,B2B,Jakarta,0,1,0
B00036,2025-09-19 12:31,318650269,B2B,Jakarta,0,2,0
B00037,2025-09-19 12:34,269923486,services,Jakarta,0,1,0
B00038,2025-09-19 12:38,284838664,B2B,International,1,1,0
B00039,2025-09-19 12:39,259270139,B2B,Jakarta,0,2,0
B00040,2025-09-19 12:41,347237027,services,International,1,1,0
B00041,2025-09-19 12:45,328537820,B2B,Jakarta,0,2,0
B00042,2025-09-19 12:48,331734756,services,Jakarta,0,2,0
B00043,2025-09-19 12:49,110399726,B2B,Jakarta,0,1,0
B00044,2025-09-19 12:56,345185304,B2B,Jakarta,0,2,0
B00045,2025-09-19 13:02,93923463,B2B,Jakarta,0,2,0
B00046,2025-09-19 13:04,15604720,retail,International,1,2,0
B00047,2025-09-19 13:06,489068365,B2B,Jakarta,0,1,0
B00048,2025-09-19 13:07,93456694,B2B,Jakarta,0,2,0
B00049,2025-09-19 13:13,61275805,B2B,Jakarta,0,2,0
B00050,2025-09-19 13:14,155054059,travel,Jakarta,0,2,0
B00051,2025-09-19 13:21,432790995,B2B,International,1,1,0
B00052,2025-09-19 13:27,1053395448,services,International,1,2,1
B00053,2025-09-19 13:28,316514507,B2B,Jakarta,0,1,0
B00054,2025-09-19 13:33,417254095,services,International,1,1,0
B00055,2025-09-19 13:39,173192830,B2B,International,1,2,0
B00056,2025-09-19 13:41,133306406,B2B,Jakarta,0,1,0
B00057,2025-09-19 13:42,434562535,travel,International,1,1,0
B00058,2025-09-19 13:45,70081875,B2B,Jakarta,0,2,0
B00059,2025-09-19 13:47,242128463,services,Jakarta,0,1,0
B00060,2025-09-19 13:49,362332579,travel,Jakarta,0,2,0
B00061,2025-09-19 13:54,189141811,B2B,Jakarta,0,1,0
B00062,2025-09-19 13:59,356394846,services,Jakarta,0,2,0
B00063,2025-09-19 14:06,462839400,B2B,Jakarta,0,2,0
B00064,2025-09-19 14:07,249111543,B2B,Jakarta,0,1,0
B00065,2025-09-19 14:08,43528258,B2B,International,1,2,0
B00066,2025-09-19 14:14,463216927,services,International,1,1,0
B00067,2025-09-19 14:19,499519376,B2B,Jakarta,0,2,0
B00068,2025-09-19 14:22,327300755,B2B,Jakarta,0,1,0
B00069,2025-09-19 14:26,2917900402,services,International,1,1,1
B00070,2025-09-19 14:30,443033948,B2B,Jakarta,0,2,0
B00071,2025-09-19 14:36,250221712,B2B,Jakarta,0,1,0
B00072,2025-09-19 14:42,120728893,B2B,Jakarta,0,1,0
B00073,2025-09-19 14:48,186731484,B2B,Jakarta,0,2,0
B00074,2025-09-19 14:52,471215514,B2B,Jakarta,0,2,0
B00075,2025-09-19 14:55,2136502985,services,International,1,1,1
B00076,2025-09-19 14:58,300502746,retail,Jakarta,0,1,0
B00077,2025-09-19 15:05,424605060,services,Jakarta,0,2,0
B00078,2025-09-19 15:08,315884605,travel,Jakarta,0,1,0
B00079,2025-09-19 15:12,160328008,services,Jakarta,0,2,0
