transaction_id,timestamp,transaction_value,merchant_type,location,is_international,transaction_frequency_24h,is_fraud
G00001,2025-09-19 12:06,270004,retail,Bandung,0,1,0
G00002,2025-09-19 12:13,618619,groceries,Bekasi,0,2,0
G00003,2025-09-19 12:22,1119394,groceries,,0,3,0
G00004,2025-09-19 12:31,718372,retail,Jakarta,0,1,0
G00005,2025-09-19 12:34,377679,retail,Online,0,1,0
G00006,2025-09-19 12:41,1479344,travel,Jakarta,0,1,0
G00007,2025-09-19 12:44,417303,retail,Jakarta,0,2,0
G00008,2025-09-19 12:47,263662,groceries,Jakarta,0,3,0
G00009,2025-09-19 12:51,664677,retail,Jakarta,0,2,0
G00010,2025-09-19 12:55,_--_300729,groceries,Jakarta,0,2,0
G00011,2025-09-19 12:58,949615,e-commerce,,0,3,0
G00012,2025-09-19 13:04,737749,electronics,Bandung,0,1,0
G00013,2025-09-19 13:10,__1400788,groceries,Bekasi,0,3,0
G00014,2025-09-19 13:16,378478,groceries,Jakarta,0,1,0
G00015,2025-09-19 13:21,512886,groceries,Online,0,1,0
G00016,2025-09-19 13:28,1074520,electronics,Bandung,0,3,0
G00017,2025-09-19 13:31,1092199,retail,Bandung,0,2,0
G00018,2025-09-19 13:35,636914,travel,,0,2,0
G00019,2025-09-19 13:38,1394426,e-commerce,Bandung,0,1,0
G00020,2025-09-19 13:43,1292380,groceries,,0,2,0
G00021,2025-09-19 13:46,975854,groceries,Bandung,0,3,0
G00022,2025-09-19 13:53,1160624,travel,,0,1,0
G00023,2025-09-19 13:59,873308,retail,Online,0,1,0
G00024,2025-09-19 14:05,785589,electronics,Jakarta,0,1,0
G00025,2025-09-19 14:13,886604,retail,Jakarta,0,2,0
G00026,2025-09-19 14:17,1290722,travel,Bekasi,0,3,0
G00027,2025-09-19 14:20,171974,retail,Jakarta,0,1,0
G00028,2025-09-19 14:22,broken_354844,e-commerce,Bandung,0,7,1
G00029,2025-09-19 14:30,790789,retail,,0,3,0
G00030,2025-09-19 14:33,934483,groceries,Bandung,0,2,0
G00031,2025-09-19 14:37,392461,retail,Bandung,0,3,0
G00032,2025-09-19 14:46,__966929,retail,Bandung,0,3,0
G00033,2025-09-19 14:53,183038,e-commerce,,0,3,0
G00034,2025-09-19 15:01,482128,electronics,Bekasi,0,2,0
G00035,2025-09-19 15:06,770845,e-commerce,Bekasi,0,1,0
G00036,2025-09-19 15:13,_--_216988,e-commerce,Jakarta,0,3,0
G00037,2025-09-19 15:16,1005409,retail,Jakarta,0,2,0
G00038,2025-09-19 15:25,872518,groceries,Bandung,0,1,0
G00039,2025-09-19 15:33,913196,groceries,Bekasi,0,3,0
G00040,2025-09-19 15:42,843464,electronics,Online,0,2,0
G00041,2025-09-19 15:48,1083373,groceries,Bandung,0,3,0
G00042,2025-09-19 15:51,1032375,electronics,Online,0,3,0
G00043,2025-09-19 15:57,1041094,electronics,,0,1,0
G00044,2025-09-19 16:02,437453,retail,Jakarta,0,3,0
G00045,2025-09-19 16:08,1077778,e-commerce,Online,0,3,0
G00046,2025-09-19 16:16,392518,electronics,Bandung,0,3,0
G00047,2025-09-19 16:20,178921,retail,Bandung,0,1,0
G00048,2025-09-19 16:26,badval_1470186,e-commerce,,0,3,0
G00049,2025-09-19 16:31,391245,retail,Online,0,3,0
G00050,2025-09-19 16:39,303479,groceries,Bekasi,0,3,0
G00051,2025-09-19 16:46,559238,groceries,Bandung,0,2,0
G00052,2025-09-19 16:49,717794,e-commerce,Bandung,0,6,1
G00053,2025-09-19 16:52,1316702,electronics,,0,2,0
G00054,2025-09-19 17:01,1121968,e-commerce,Online,0,1,0
G00055,2025-09-19 17:10,403936,groceries,Jakarta,0,3,0
G00056,2025-09-19 17:15,999585,electronics,Bekasi,0,2,0
G00057,2025-09-19 17:18,1274329,e-commerce,Online,0,1,0
G00058,2025-09-19 17:21,608707,retail,Online,0,2,0
G00059,2025-09-19 17:30,499926,e-commerce,Bandung,0,1,0
G00060,2025-09-19 17:38,1321534,groceries,Bekasi,0,2,0
G00061,2025-09-19 17:47,327496,retail,Bekasi,0,2,0
G00062,2025-09-19 17:54,1378583,travel,Online,0,3,0
G00063,2025-09-19 18:03,796713,groceries,Bekasi,0,3,0
G00064,2025-09-19 18:10,1124543,retail,Bekasi,0,2,0
G00065,2025-09-19 18:19,652204,electronics,Jakarta,0,3,0
G00066,2025-09-19 18:28,1108349,retail,Jakarta,0,1,0
G00067,2025-09-19 18:35,1398652,groceries,,0,3,0
G00068,2025-09-19 18:40,815758,groceries,Bekasi,0,1,0
G00069,2025-09-19 18:41,855838,e-commerce,,0,4,1
G00070,2025-09-19 18:46,255077,retail,Jakarta,0,3,0
G00071,2025-09-19 18:51,err_1399682,e-commerce,Bandung,0,1,0
G00072,2025-09-19 18:56,1498689,e-commerce,Jakarta,0,1,0
G00073,2025-09-19 19:04,1029002,retail,Jakarta,0,3,0
G00074,2025-09-19 19:12,170999,e-commerce,Online,0,3,0
G00075,2025-09-19 19:16,broken_1344638,retail,Online,0,3,0
G00076,2025-09-19 19:22,818786,travel,Online,0,1,0
G00077,2025-09-19 19:25,465624,electronics,,0,2,0
G00078,2025-09-19 19:31,645631,e-commerce,Jakarta,0,2,0
G00079,2025-09-19 19:34,1421496,retail,,0,3,0
G00080,2025-09-19 19:39,__1197778,groceries,,0,3,0
G00081,2025-09-19 19:48,955916,e-commerce,Jakarta,0,3,0
G00082,2025-09-19 19:57,1143303,retail,Online,0,2,0
G00083,2025-09-19 20:03,1294377,retail,Online,0,1,0
G00084,2025-09-19 20:11,997867,groceries,Jakarta,0,3,0
G00085,2025-09-19 20:14,768779,e-commerce,,0,5,1
G00086,2025-09-19 20:23,250897,retail,Online,0,1,0
G00087,2025-09-19 20:30,badval_316264,retail,Jakarta,0,1,0
G00088,2025-09-19 20:35,469746,electronics,Online,0,2,0
G00089,2025-09-19 20:41,1187598,travel,Bandung,0,1,0
G00090,2025-09-19 20:44,277113,groceries,Online,0,2,0
G00091,2025-09-19 20:48,321560,e-commerce,Bandung,0,1,0
G00092,2025-09-19 20:52,1471618,retail,Online,0,3,0
G00093,2025-09-19 20:57,690535,electronics,Jakarta,0,2,0
G00094,2025-09-19 21:05,322506,electronics,Bekasi,0,1,0
G00095,2025-09-19 21:10,1327845,retail,,0,3,0
G00096,2025-09-19 21:18,1455710,e-commerce,Online,0,2,0
G00097,2025-09-19 21:22,830581,retail,Jakarta,0,1,0
G00098,2025-09-19 21:27,302161,groceries,Jakarta,0,2,0
G00099,2025-09-19 21:31,997237,retail,Bekasi,0,3,0
G00100,2025-09-19 21:36,broken_1314010,electronics,Jakarta,0,3,0
G00101,2025-09-19 21:40,1453365,groceries,Jakarta,0,2,0
G00102,2025-09-19 21:47,925750,e-commerce,Bekasi,0,3,0
G00103,2025-09-19 21:53,1424716,groceries,Jakarta,0,1,0
G00104,2025-09-19 21:57,badval_1272829,groceries,Jakarta,0,3,0
G00105,2025-09-19 22:04,367842,e-commerce,Jakarta,0,3,0
G00106,2025-09-19 22:13,1005945,retail,Bekasi,0,2,0
G00107,2025-09-19 22:16,1048733,groceries,Jakarta,0,2,0
G00108,2025-09-19 22:20,__1187930,retail,Bekasi,0,2,0
G00109,2025-09-19 22:25,867315,e-commerce,,0,1,0
G00110,2025-09-19 22:29,1136595,electronics,Bekasi,0,3,0
G00111,2025-09-19 22:34,938843,e-commerce,,0,3,0
G00112,2025-09-19 22:43,501252,electronics,Jakarta,0,3,0
G00113,2025-09-19 22:50,803500,retail,,0,1,0
G00114,2025-09-19 22:54,1412315,retail,Online,0,3,0
G00115,2025-09-19 23:01,1287661,e-commerce,Bandung,0,2,0
G00116,2025-09-19 23:10,1018922,retail,Bekasi,0,3,0
G00117,2025-09-19 23:18,584575,groceries,Bekasi,0,3,0
G00118,2025-09-19 23:26,422813,e-commerce,Bandung,0,3,0
G00119,2025-09-19 23:32,err_535508,retail,Online,0,3,0
G00120,2025-09-19 23:38,563156,groceries,Bekasi,0,1,0
G00121,2025-09-19 23:43,1448228,e-commerce,Bekasi,0,1,0
G00122,2025-09-19 23:46,869618,retail,Bandung,0,1,0
G00123,2025-09-19 23:55,677671,e-commerce,,0,2,0
G00124,2025-09-20 00:01,__1340466,travel,Online,0,3,0
G00125,2025-09-20 00:02,864204,e-commerce,Bekasi,0,4,1
G00126,2025-09-20 00:07,1225616,e-commerce,Bandung,0,2,0
G00127,2025-09-20 00:13,1015947,retail,Bandung,0,3,0
G00128,2025-09-20 00:19,557764,retail,Bandung,0,1,0
G00129,2025-09-20 00:26,1447104,e-commerce,Bekasi,0,2,0
G00130,2025-09-20 00:33,1079456,groceries,Online,0,2,0
G00131,2025-09-20 00:40,1485988,e-commerce,,0,1,0
G00132,2025-09-20 00:45,152236,retail,,0,2,0
G00133,2025-09-20 00:51,529091,retail,,0,3,0
G00134,2025-09-20 00:55,599065,groceries,Online,0,3,0
G00135,2025-09-20 00:59,broken_1060298,retail,Bekasi,0,3,0
G00136,2025-09-20 01:00,713633,e-commerce,Bandung,0,4,1
G00137,2025-09-20 01:09,314024,retail,Bekasi,0,2,0
G00138,2025-09-20 01:14,354121,retail,Bekasi,0,1,0
G00139,2025-09-20 01:19,badval_1061116,groceries,Bandung,0,3,0
G00140,2025-09-20 01:24,627083,groceries,Bandung,0,2,0
G00141,2025-09-20 01:31,1093246,e-commerce,Online,0,2,0
