transaction_id,timestamp,amount,merchant_category,location,is_international,is_fraud
I00001,2025-09-19 12:10,14.328303046183597,groceries,Medan,0,0
I00002,2025-09-19 12:17,13.820308031662327,retail,Medan,0,0
I00003,2025-09-19 12:24,13.966756738098834,groceries,Medan,0,0
I00004,2025-09-19 12:34,13.505577423244237,groceries,Jakarta,0,0
I00005,2025-09-19 12:52,14.297693467751705,groceries,Medan,0,0
I00006,2025-09-19 12:58,12.520310228446425,retail,Medan,0,0
I00007,2025-09-19 13:16,13.31460886206263,retail,Medan,0,0
I00008,2025-09-19 13:22,14.394987234803958,travel,Jakarta,0,0
I00009,2025-09-19 13:28,13.762959630983007,travel,Medan,0,0
I00010,2025-09-19 13:34,12.990834549736036,retail,Medan,0,0
I00011,2025-09-19 13:50,13.632399889903905,retail,Medan,0,0
I00012,2025-09-19 13:58,13.255597975989858,retail,Medan,0,0
I00013,2025-09-19 14:05,13.832096251768057,groceries,Jakarta,0,0
I00014,2025-09-19 14:21,13.197956817133152,retail,Medan,0,0
I00015,2025-09-19 14:35,13.603426870258902,electronics,Medan,0,0
I00016,2025-09-19 14:45,14.31513609425652,retail,Jakarta,0,0
I00017,2025-09-19 15:00,12.563421862096018,electronics,Medan,0,0
I00018,2025-09-19 15:17,14.15916125340216,retail,Jakarta,0,0
I00019,2025-09-19 15:29,12.539020822799161,retail,Medan,0,0
I00020,2025-09-19 15:46,13.715242608705719,retail,Medan,0,0
I00021,2025-09-19 15:56,14.04085169282197,retail,Medan,0,0
I00022,2025-09-19 16:13,14.361577255845042,electronics,Medan,0,0
I00023,2025-09-19 16:27,13.240389938961428,retail,Medan,0,0
I00024,2025-09-19 16:35,12.376207748209827,retail,Medan,0,0
I00025,2025-09-19 16:49,14.144023344898292,electronics,Medan,0,0
I00026,2025-09-19 16:59,14.30074572119503,retail,Medan,0,0
I00027,2025-09-19 17:05,13.894641465458957,retail,Medan,0,0
I00028,2025-09-19 17:17,12.428039504813778,retail,Medan,0,0
I00029,2025-09-19 17:23,13.791329539487315,retail,Medan,0,0
I00030,2025-09-19 17:34,13.586557665053817,electronics,Medan,0,0
I00031,2025-09-19 17:51,13.704516425467016,retail,Medan,0,0
I00032,2025-09-19 17:58,12.384674793892334,groceries,Jakarta,0,0
I00033,2025-09-19 18:12,13.420437762228975,retail,Jakarta,0,0
I00034,2025-09-19 18:21,14.402351776072392,retail,Medan,0,0
I00035,2025-09-19 18:34,12.326350344702167,groceries,Medan,0,0
I00036,2025-09-19 18:48,14.321570644574436,groceries,Medan,0,0
I00037,2025-09-19 19:03,13.819428871338168,groceries,Medan,0,0
I00038,2025-09-19 19:17,13.924292314497617,retail,Medan,0,0
I00039,2025-09-19 19:26,14.340418360769563,retail,Jakarta,0,0
I00040,2025-09-19 19:36,13.14107521392607,groceries,Medan,0,0
I00041,2025-09-19 19:49,14.388899628692304,groceries,Medan,0,0
I00042,2025-09-19 19:58,13.315763341405285,retail,Medan,0,0
I00043,2025-09-19 20:14,13.49530116156699,retail,Jakarta,0,0
I00044,2025-09-19 20:27,13.700937739043907,groceries,Medan,0,0
I00045,2025-09-19 20:41,13.9487609111009,retail,Medan,0,0
I00046,2025-09-19 20:55,13.433646735458435,groceries,Medan,0,0
I00047,2025-09-19 21:05,14.19300614026181,groceries,Jakarta,0,0
I00048,2025-09-19 21:20,12.12901880008786,retail,Medan,0,0
I00049,2025-09-19 21:34,14.038571705883417,retail,Medan,0,0
I00050,2025-09-19 21:50,14.024817219530426,groceries,Medan,0,0
I00051,2025-09-19 22:00,13.847022790823102,groceries,Medan,0,0
I00052,2025-09-19 22:13,18.320901667487504,electronics,Medan,0,1
I00053,2025-09-19 22:30,14.14025572913092,groceries,Medan,0,0
I00054,2025-09-19 22:40,14.311494385140632,retail,Medan,0,0
I00055,2025-09-19 22:56,13.14281481378621,retail,Medan,0,0
I00056,2025-09-19 23:06,13.750235765845733,groceries,Medan,0,0
I00057,2025-09-19 23:13,13.890258967851107,retail,Medan,0,0
I00058,2025-09-19 23:19,13.485296696793515,groceries,Medan,0,0
I00059,2025-09-19 23:31,14.379043236287789,retail,Medan,0,0
I00060,2025-09-19 23:42,13.809496509775483,retail,Medan,0,0
I00061,2025-09-19 23:51,13.93584322942404,retail,Medan,0,0
I00062,2025-09-20 00:08,13.06313765167635,travel,Medan,0,0
I00063,2025-09-20 00:24,13.636452071560745,groceries,Medan,0,0
I00064,2025-09-20 00:38,13.982838605096296,groceries,Jakarta,0,0
I00065,2025-09-20 00:54,13.66092478349707,retail,Medan,0,0
I00066,2025-09-20 01:07,14.166558198287827,electronics,Medan,0,0
I00067,2025-09-20 01:21,12.83626671419356,travel,Medan,0,0
I00068,2025-09-20 01:29,12.907217757201181,retail,Medan,0,0
I00069,2025-09-20 01:35,13.47208037085064,groceries,Medan,0,0
I00070,2025-09-20 01:48,13.422961181539119,electronics,Jakarta,0,0
I00071,2025-09-20 01:55,14.217969819705877,retail,Medan,0,0
I00072,2025-09-20 02:03,14.274119513796125,retail,Medan,0,0
I00073,2025-09-20 02:15,13.741574417200539,groceries,Medan,0,0
I00074,2025-09-20 02:25,13.799511248875366,retail,Medan,0,0
I00075,2025-09-20 02:36,13.362500909575028,groceries,Medan,0,0
I00076,2025-09-20 02:49,13.842669395213713,groceries,Medan,0,0
I00077,2025-09-20 03:06,14.0898596398149,retail,Medan,0,0
I00078,2025-09-20 03:12,14.10965222225753,retail,Medan,0,0
I00079,2025-09-20 03:21,14.374439252762404,groceries,Medan,0,0
I00080,2025-09-20 03:31,13.91401925342294,retail,Medan,0,0
I00081,2025-09-20 03:40,13.475167238360195,retail,Medan,0,0
I00082,2025-09-20 03:47,12.486756537740908,retail,Jakarta,0,0
I00083,2025-09-20 03:56,14.066315189654311,travel,Medan,0,0
I00084,2025-09-20 04:04,14.205210039113904,retail,Medan,0,0
I00085,2025-09-20 04:21,18.310584990285626,electronics,Medan,0,1
I00086,2025-09-20 04:31,14.329937688511933,groceries,Medan,0,0
I00087,2025-09-20 04:41,13.419357953578418,retail,Medan,0,0
I00088,2025-09-20 04:56,12.379639323300266,groceries,Medan,0,0
I00089,2025-09-20 05:09,13.993398969541161,retail,Medan,0,0
I00090,2025-09-20 05:18,12.76586841726754,travel,Jakarta,0,0
I00091,2025-09-20 05:27,12.573461984786109,retail,Medan,0,0
I00092,2025-09-20 05:33,14.08420856800421,retail,Medan,0,0
I00093,2025-09-20 05:41,13.672515093386417,retail,Jakarta,0,0
I00094,2025-09-20 05:52,13.95299338338523,electronics,Medan,0,0
I00095,2025-09-20 06:03,14.140292586738063,travel,Jakarta,0,0
I00096,2025-09-20 06:11,13.568527592482383,retail,Medan,0,0
I00097,2025-09-20 06:28,13.96244929413139,retail,Medan,0,0
I00098,2025-09-20 06:44,13.854501437015413,retail,Medan,0,0
I00099,2025-09-20 06:55,13.917194021544558,retail,Medan,0,0
I00100,2025-09-20 07:11,14.085926169329799,retail,Medan,0,0
I00101,2025-09-20 07:21,13.564007397588872,travel,Medan,0,0
I00102,2025-09-20 07:35,13.797740603388437,retail,Medan,0,0
I00103,2025-09-20 07:51,13.933639311631076,travel,Medan,0,0
