loan_id,timestamp,loan_amount,loan_tenor_months,location_branch,is_default
L00001,2025-09-19 13:05,15.664169601980785,12,Sleman,0
L00002,2025-09-19 13:22,15.486047897124175,6,Bantul,0
L00003,2025-09-19 13:37,14.42808305604384,24,Sleman,0
L00004,2025-09-19 13:42,15.757519249077639,12,Sleman,0
L00005,2025-09-19 13:45,15.75458957070294,12,Bantul,0
L00006,2025-09-19 13:52,13.549398178079795,12,Sleman,0
L00007,2025-09-19 13:55,13.410303916450742,12,Gunungkidul,0
L00008,2025-09-19 14:07,14.553620109842651,12,Bantul,0
L00009,2025-09-19 14:22,15.549081965800168,12,Gunungkidul,0
L00010,2025-09-19 14:38,15.293772017012229,24,Bantul,0
L00011,2025-09-19 14:42,15.158882282258968,12,Magelang,0
L00012,2025-09-19 14:53,14.97827504315621,12,Sleman,0
L00013,2025-09-19 15:03,15.101361185109472,12,Gunungkidul,0
L00014,2025-09-19 15:13,15.351111599954802,12,Sleman,0
L00015,2025-09-19 15:29,13.726165551086364,24,Gunungkidul,0
L00016,2025-09-19 15:33,15.276826348908367,6,Gunungkidul,0
L00017,2025-09-19 15:37,14.475838531936196,12,Gunungkidul,0
L00018,2025-09-19 15:50,15.542185935035729,36,Sleman,0
L00019,2025-09-19 16:02,14.386561288457056,12,Sleman,0
L00020,2025-09-19 16:12,13.775593362323365,12,Gunungkidul,0
L00021,2025-09-19 16:17,15.017214490345765,24,Bantul,0
L00022,2025-09-19 16:21,15.028642786399674,12,Bantul,0
L00023,2025-09-19 16:33,15.16892164189445,12,Bantul,0
L00024,2025-09-19 16:49,15.622216109299037,6,Sleman,0
L00025,2025-09-19 17:06,15.434703138546487,6,Bantul,0
L00026,2025-09-19 17:12,14.865616192270249,6,Bantul,0
L00027,2025-09-19 17:23,15.468584039104034,24,Magelang,0
L00028,2025-09-19 17:33,15.14381239276322,12,Bantul,0
L00029,2025-09-19 17:50,14.48561733528397,36,Magelang,0
L00030,2025-09-19 18:05,13.36963274656477,6,Sleman,0
L00031,2025-09-19 18:09,13.173026073006252,6,Bantul,0
L00032,2025-09-19 18:22,14.486990183330528,12,Gunungkidul,0
L00033,2025-09-19 18:37,15.577504393562648,6,Bantul,0
L00034,2025-09-19 18:43,15.07219696256566,12,Bantul,0
L00035,2025-09-19 18:51,15.049936715757784,6,Sleman,0
L00036,2025-09-19 19:08,14.944746777216164,6,Sleman,0
L00037,2025-09-19 19:16,14.587377879684412,12,Bantul,0
L00038,2025-09-19 19:20,15.453585877411893,12,Bantul,0
L00039,2025-09-19 19:37,13.27590129810448,6,Gunungkidul,0
L00040,2025-09-19 19:52,15.31451287606491,12,Gunungkidul,0
L00041,2025-09-19 19:55,15.701058291895402,12,Bantul,0
L00042,2025-09-19 20:04,15.643575758732371,6,Bantul,0
L00043,2025-09-19 20:18,14.880398520630616,36,Bantul,0
L00044,2025-09-19 20:22,15.616561725353012,24,Bantul,0
L00045,2025-09-19 20:31,14.530702458294659,6,Bantul,0
L00046,2025-09-19 20:37,14.54205818133249,12,Bantul,0
L00047,2025-09-19 20:41,14.820775805276861,6,Sleman,0
L00048,2025-09-19 20:45,13.328811532974518,6,Magelang,0
L00049,2025-09-19 20:56,14.61591759928361,36,Sleman,0
L00050,2025-09-19 21:02,15.61623984449586,6,Sleman,0
L00051,2025-09-19 21:15,15.51212585027543,24,Kulon Progo,0
L00052,2025-09-19 21:31,14.786018983997618,24,Bantul,0
L00053,2025-09-19 21:41,14.744085923787932,24,Gunungkidul,0
L00054,2025-09-19 21:48,14.829368556867506,12,Sleman,0
L00055,2025-09-19 21:54,14.057109162337554,12,Bantul,0
L00056,2025-09-19 22:06,14.240495246778764,24,Gunungkidul,0
L00057,2025-09-19 22:19,15.754649980149557,24,Bantul,0
L00058,2025-09-19 22:24,15.425857656962982,12,Kulon Progo,0
L00059,2025-09-19 22:32,15.405573991433616,6,Bantul,0
L00060,2025-09-19 22:38,14.657382869500656,6,Bantul,0
L00061,2025-09-19 22:52,15.617836999566197,6,Gunungkidul,0
L00062,2025-09-19 23:00,14.315577109934283,6,Bantul,0
L00063,2025-09-19 23:12,15.731909650781041,12,Sleman,0
L00064,2025-09-19 23:29,15.143126527133129,24,Sleman,0
L00065,2025-09-19 23:35,14.790166042425781,24,Sleman,0
L00066,2025-09-19 23:41,15.49777207524827,12,Bantul,0
L00067,2025-09-19 23:49,14.9823536055631,24,Magelang,0
L00068,2025-09-20 00:01,14.627502876616738,12,Gunungkidul,0
L00069,2025-09-20 00:09,15.413597895661152,12,Bantul,0
L00070,2025-09-20 00:17,15.462871033627222,24,Sleman,0
L00071,2025-09-20 00:32,15.301926686431166,12,Gunungkidul,0
L00072,2025-09-20 00:37,15.069084340518208,36,Bantul,0
L00073,2025-09-20 00:48,14.785232856491529,6,Gunungkidul,0
L00074,2025-09-20 00:59,14.954792189501969,12,Sleman,0
L00075,2025-09-20 01:08,15.637385308874672,12,Bantul,0
L00076,2025-09-20 01:16,14.858217529691409,12,Bantul,0
L00077,2025-09-20 01:28,15.73048111907493,12,Sleman,0
L00078,2025-09-20 01:44,14.184503226287239,6,Bantul,0
L00079,2025-09-20 01:48,14.25871387059624,24,Sleman,0
L00080,2025-09-20 02:04,14.794633355809225,12,Sleman,0
L00081,2025-09-20 02:07,13.160342936028503,12,Sleman,0
L00082,2025-09-20 02:18,15.642498004332229,24,Bantul,0
L00083,2025-09-20 02:26,14.813405239677381,12,Sleman,0
L00084,2025-09-20 02:33,13.967446787705805,24,Sleman,0
L00085,2025-09-20 02:48,15.32414842884132,6,Bantul,0
L00086,2025-09-20 02:58,15.721929820229839,12,Bantul,0
L00087,2025-09-20 03:04,15.755593907001058,6,Bantul,0
L00088,2025-09-20 03:20,13.996771552560908,24,Gunungkidul,0
L00089,2025-09-20 03:28,15.547841803988907,24,Sleman,0
L00090,2025-09-20 03:41,14.863953832285814,24,Sleman,0
L00091,2025-09-20 03:46,15.596460312174349,12,Bantul,0
L00092,2025-09-20 03:50,15.306388107701594,6,Sleman,0
L00093,2025-09-20 04:01,15.474933539432175,12,Bantul,0
L00094,2025-09-20 04:04,15.598224237118774,12,Gunungkidul,0
L00095,2025-09-20 04:21,15.659209512753385,6,Sleman,0
L00096,2025-09-20 04:26,14.175482361284773,12,Sleman,0
L00097,2025-09-20 04:36,15.465109702663325,24,Gunungkidul,0
L00098,2025-09-20 04:47,14.164168955083673,12,Bantul,0
L00099,2025-09-20 05:02,15.707944882268484,24,Magelang,0
L00100,2025-09-20 05:07,15.338182445125732,12,Sleman,0
L00101,2025-09-20 05:23,14.376417511985897,6,Gunungkidul,0
L00102,2025-09-20 05:29,14.692167755486201,12,Gunungkidul,0
L00103,2025-09-20 05:46,15.659542059126656,12,Magelang,0
L00104,2025-09-20 05:56,15.360786198470192,24,Sleman,0
L00105,2025-09-20 06:03,14.503761270365876,12,Bantul,0
L00106,2025-09-20 06:14,15.579177604290889,6,Bantul,0
L00107,2025-09-20 06:28,15.458198703345388,6,Bantul,0
L00108,2025-09-20 06:43,13.815169499810553,24,Sleman,0
L00109,2025-09-20 06:50,14.666213044599916,12,Bantul,0
L00110,2025-09-20 06:59,15.605470408850186,12,Sleman,0
L00111,2025-09-20 07:09,14.838107518169023,6,Sleman,0
L00112,2025-09-20 07:23,13.520206176046788,24,Gunungkidul,0
L00113,2025-09-20 07:36,15.302842529436369,12,Bantul,0
L00114,2025-09-20 07:40,15.662763231265684,6,Gunungkidul,0
L00115,2025-09-20 07:43,15.23059109282808,12,Sleman,0
L00116,2025-09-20 07:54,15.738520194800515,24,Gunungkidul,0
L00117,2025-09-20 08:09,14.032057197425448,36,Sleman,0
L00118,2025-09-20 08:18,15.392106839566706,36,Sleman,0
L00119,2025-09-20 08:25,15.368012761169677,12,Gunungkidul,0
L00120,2025-09-20 08:41,15.746692781614975,12,Sleman,0
L00121,2025-09-20 08:47,15.173268346687616,12,Sleman,0
L00122,2025-09-20 09:00,15.580745850812567,12,Kulon Progo,0
L00123,2025-09-20 09:05,14.18373544378512,6,Sleman,0
L00124,2025-09-20 09:18,13.577730412397049,24,Kulon Progo,0
L00125,2025-09-20 09:27,15.455884188333943,36,Sleman,0
L00126,2025-09-20 09:43,13.170719161530123,6,Sleman,0
L00127,2025-09-20 09:54,15.637866478591993,12,Bantul,0
L00128,2025-09-20 10:00,13.361681020048943,6,Sleman,0
L00129,2025-09-20 10:10,15.420016528341657,12,Gunungkidul,0
L00130,2025-09-20 10:24,15.050224765953832,12,Kulon Progo,0
L00131,2025-09-20 10:33,15.362105577536967,12,Sleman,0
L00132,2025-09-20 10:48,15.331074398896703,12,Bantul,0
L00133,2025-09-20 11:03,15.035702517790327,24,Sleman,0
L00134,2025-09-20 11:20,15.104623915379605,6,Bantul,0
L00135,2025-09-20 11:30,15.143089146130972,24,Bantul,0
L00136,2025-09-20 11:39,15.405020827288043,24,Bantul,0
L00137,2025-09-20 11:47,15.448028270911141,12,Sleman,0
L00138,2025-09-20 11:59,15.045857876763488,12,Bantul,0
