transaction_id,timestamp,amount,hashed_merchant_id,hashed_customer_id,location,is_fraud
N00001,2025-09-19 13:00,12.311882060417663,0x80fd...,0xbb54...,Jakarta,0
N00002,2025-09-19 13:03,12.050085280027957,0x1a2b...,0xb643...,Bandung,0
N00003,2025-09-19 13:06,12.841858156300962,0x80fd...,0x6327...,Jakarta,0
N00004,2025-09-19 13:07,13.421663201671159,0x6f05...,0xcb01...,Jakarta,0
N00005,2025-09-19 13:10,15.365436017392867,0xc7fc...,0x558b...,International,1
N00006,2025-09-19 13:13,12.36700882313674,0xa6f9...,0x19d7...,Bandung,0
N00007,2025-09-19 13:14,13.696456715174445,0x6f05...,0xc439...,Bandung,0
N00008,2025-09-19 13:15,12.46227566073031,0x7bd7...,0x9cff...,Jakarta,0
N00009,2025-09-19 13:16,12.027878558999458,0x1648...,0x683f...,Bandung,0
N00010,2025-09-19 13:19,12.911627531164122,0x1648...,0x5980...,International,0
N00011,2025-09-19 13:21,12.151199266068351,0xdd89...,0xb79d...,International,0
N00012,2025-09-19 13:23,13.26011808924815,0x315e...,0x558b...,Bandung,0
N00013,2025-09-19 13:25,13.013211238173783,0x6f05...,0x558b...,Jakarta,0
N00014,2025-09-19 13:27,13.642595421754875,0xd191...,0xc564...,Bandung,0
N00015,2025-09-19 13:29,12.369020233140931,0x2f2c...,0xf11a...,International,0
N00016,2025-09-19 13:30,12.660467590592756,0x1a2b...,0x523f...,Jakarta,0
N00017,2025-09-19 13:32,13.381437620296674,0x7bd7...,0x12ca...,Jakarta,0
N00018,2025-09-19 13:33,15.963972670747424,0xfdc8...,0xa95b...,Bandung,1
N00019,2025-09-19 13:36,12.870159124775709,0x80fd...,0xdcd6...,International,0
N00020,2025-09-19 13:37,13.638102510090267,0x315e...,0x523f...,Surabaya,0
N00021,2025-09-19 13:38,13.563151870348616,0x95bf...,0x6775...,Jakarta,0
N00022,2025-09-19 13:40,13.286851866046492,0x6a0a...,0x2685...,Surabaya,0
N00023,2025-09-19 13:42,13.457247210322903,0x3f27...,0x1b4f...,Bandung,0
N00024,2025-09-19 13:44,13.178040249859183,0x80fd...,0x88ae...,Surabaya,0
N00025,2025-09-19 13:47,13.074529355984698,0xf1b2...,0xf976...,Surabaya,0
N00026,2025-09-19 13:50,13.19283488849806,0x7bd7...,0x4498...,Jakarta,0
N00027,2025-09-19 13:52,13.56188718039609,0x2f2c...,0x2685...,Jakarta,0
N00028,2025-09-19 13:55,15.242538429689834,0xfdc8...,0xa95b...,International,1
N00029,2025-09-19 13:57,12.104349949420303,0x5709...,0x4010...,Bandung,0
N00030,2025-09-19 13:58,13.080974555601172,0x9ba9...,0x979b...,Bandung,0
N00031,2025-09-19 13:59,13.244368598190228,0x1b38...,0x65e4...,Jakarta,0
N00032,2025-09-19 14:00,12.403615271863181,0xc7fc...,0x1b4f...,Jakarta,0
N00033,2025-09-19 14:01,13.277839464205863,0x1b38...,0x2659...,Jakarta,0
N00034,2025-09-19 14:04,11.691732519797487,0xfdc8...,0xc439...,Jakarta,0
N00035,2025-09-19 14:06,12.600871066263094,0x7a12...,0xa95b...,Surabaya,0
N00036,2025-09-19 14:08,13.056029111548568,0xf7c9...,0xa80e...,Bandung,0
N00037,2025-09-19 14:10,11.847238228750303,0x80fd...,0x65e4...,Surabaya,0
N00038,2025-09-19 14:11,13.316135788867307,0x3f27...,0xf976...,Jakarta,0
N00039,2025-09-19 14:14,13.177154547087019,0xd191...,0x45c9...,Jakarta,0
N00040,2025-09-19 14:15,13.221783282525083,0x95bf...,0x183b...,Jakarta,0
N00041,2025-09-19 14:17,13.144011359808475,0x492a...,0xb79d...,Jakarta,0
N00042,2025-09-19 14:20,13.389502378498873,0xfdc8...,0xd265...,Bandung,0
N00043,2025-09-19 14:23,13.342125217172129,0xddc0...,0x55af...,Bandung,0
N00044,2025-09-19 14:25,13.350386205662714,0x315e...,0x872d...,Jakarta,0
N00045,2025-09-19 14:28,12.507446802113185,0xc7fc...,0xd2d3...,Jakarta,0
N00046,2025-09-19 14:29,13.384412207512248,0x1648...,0x766a...,Bandung,0
N00047,2025-09-19 14:30,12.40375478880651,0x95bf...,0xee14...,International,0
N00048,2025-09-19 14:32,11.671116542813754,0x492a...,0xe774...,Jakarta,0
N00049,2025-09-19 14:33,13.690324814754884,0x7a12...,0xf495...,Bandung,0
N00050,2025-09-19 14:34,12.400656215615012,0x80fd...,0xd598...,Jakarta,0
N00051,2025-09-19 14:37,12.159772129612978,0xa6f9...,0x69de...,Bandung,0
N00052,2025-09-19 14:40,15.348832576025089,0xddc0...,0x9185...,International,1
N00053,2025-09-19 14:41,13.709624348598165,0x6f05...,0x65e4...,Bandung,0
N00054,2025-09-19 14:42,13.58153353594367,0xf1b2...,0x16cb...,Jakarta,0
N00055,2025-09-19 14:44,13.423921727451656,0x54cd...,0x65e4...,Jakarta,0
N00056,2025-09-19 14:45,12.431138348327035,0xf1b2...,0xb79d...,Surabaya,0
N00057,2025-09-19 14:46,13.310431723063148,0x1478...,0x7ccf...,Jakarta,0
N00058,2025-09-19 14:49,13.549289867033854,0x9132...,0xcb01...,Jakarta,0
N00059,2025-09-19 14:52,12.826183971320804,0x95bf...,0xa95b...,Jakarta,0
N00060,2025-09-19 14:55,16.088636252776027,0xfdc8...,0x9185...,Jakarta,1
N00061,2025-09-19 14:56,13.585144738747001,0x1a2b...,0x94a4...,Jakarta,0
N00062,2025-09-19 14:59,12.231657542842933,0x1648...,0x769b...,Jakarta,0
N00063,2025-09-19 15:00,13.626828818017637,0x5709...,0x523f...,Jakarta,0
