transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,is_fraud
H00001,2025-09-19 12:05,11.501773512458838,e-commerce,Online,0,1,0
H00002,2025-09-19 12:08,12.392220207157658,subscription,Online,0,2,0
H00003,2025-09-19 12:12,13.005692473100554,subscription,Online,0,3,0
H00004,2025-09-19 12:17,12.548100847722068,retail,Online,0,1,0
H00005,2025-09-19 12:21,11.868913172816324,subscription,Online,0,1,0
H00006,2025-09-19 12:26,13.290560654527765,e-commerce,Online,0,1,0
H00007,2025-09-19 12:29,11.976042938978008,travel,Online,0,2,0
H00008,2025-09-19 12:34,11.475296284656404,subscription,Jakarta,0,3,0
H00009,2025-09-19 12:39,12.467220786203413,e-commerce,Online,0,2,0
H00010,2025-09-19 12:45,11.620963393158128,travel,Online,0,2,0
H00011,2025-09-19 12:50,12.836732533078296,travel,Online,0,3,0
H00012,2025-09-19 12:54,12.575751668724154,retail,Online,0,1,0
H00013,2025-09-19 13:00,13.234943568373607,e-commerce,Online,0,3,0
H00014,2025-09-19 13:05,11.871194138247418,travel,Bandung,0,1,0
H00015,2025-09-19 13:10,12.19522906584903,subscription,Online,0,1,0
H00016,2025-09-19 13:14,12.963735690721034,e-commerce,Bandung,0,3,0
H00017,2025-09-19 13:17,12.980477180397052,e-commerce,Online,0,2,0
H00018,2025-09-19 13:18,11.642118711430903,e-commerce,Online,0,7,1
H00019,2025-09-19 13:21,13.230300770060913,e-commerce,Bandung,0,1,0
H00020,2025-09-19 13:27,13.152727680385748,e-commerce,Online,0,2,0
H00021,2025-09-19 13:29,12.864783648768991,retail,Online,0,3,0
H00022,2025-09-19 13:32,13.042748578164918,e-commerce,Online,0,1,0
H00023,2025-09-19 13:37,12.750377531820332,travel,Online,0,1,0
H00024,2025-09-19 13:39,12.64091530968232,e-commerce,Online,0,1,0
H00025,2025-09-19 13:44,12.765971250611914,e-commerce,Online,0,2,0
H00026,2025-09-19 13:48,13.15141525506481,subscription,Online,0,3,0
H00027,2025-09-19 13:52,10.984495795255876,retail,Online,0,1,0
H00028,2025-09-19 13:53,11.31736060142441,subscription,Online,0,7,1
