bank	round	acc	pr_auc	loss	timestamp
bank_B_DATA	1	0.947333	0.633898	0.231350	2026-01-05T04:31:19.884758Z
bank_B_DATA	2	0.954733	0.729069	0.210873	2026-01-05T04:31:19.884793Z
bank_B_DATA	3	0.958467	0.767036	0.196903	2026-01-05T04:31:19.884802Z
bank_B_DATA	4	0.959933	0.796649	0.184412	2026-01-05T04:31:19.884808Z
bank_B_DATA	5	0.965733	0.845510	0.170714	2026-01-05T04:31:19.884815Z
bank_B_DATA	6	0.967733	0.850882	0.160768	2026-01-05T04:31:19.884821Z
bank_B_DATA	7	0.971533	0.889261	0.145301	2026-01-05T04:31:19.884827Z
bank_B_DATA	8	0.972733	0.890813	0.138413	2026-01-05T04:31:19.884833Z
bank_B_DATA	9	0.975000	0.910568	0.125315	2026-01-05T04:31:19.884839Z
bank_B_DATA	10	0.975600	0.913502	0.120995	2026-01-05T04:31:19.884849Z
