bank	round	acc	pr_auc	loss	timestamp
bank_C_DATA	1	0.900400	0.189753	0.322593	2026-01-05T04:58:37.438734Z
bank_C_DATA	2	0.917533	0.259610	0.297732	2026-01-05T04:58:37.438774Z
bank_C_DATA	3	0.925333	0.311403	0.281595	2026-01-05T04:58:37.438786Z
bank_C_DATA	4	0.937933	0.419014	0.258769	2026-01-05T04:58:37.438793Z
bank_C_DATA	5	0.944067	0.479255	0.241814	2026-01-05T04:58:37.438800Z
bank_C_DATA	6	0.950067	0.585925	0.220231	2026-01-05T04:58:37.438807Z
bank_C_DATA	7	0.954867	0.651312	0.205945	2026-01-05T04:58:37.438813Z
bank_C_DATA	8	0.959467	0.713508	0.190079	2026-01-05T04:58:37.438821Z
bank_C_DATA	9	0.962600	0.758527	0.177051	2026-01-05T04:58:37.438828Z
bank_C_DATA	10	0.964067	0.804649	0.163192	2026-01-05T04:58:37.438835Z
