bank	round	acc	pr_auc	loss	timestamp
bank_D_DATA	1	0.954467	0.946419	0.257920	2026-01-05T05:09:56.873260Z
bank_D_DATA	2	0.966867	0.957142	0.237827	2026-01-05T05:09:56.873319Z
bank_D_DATA	3	0.974667	0.970734	0.218408	2026-01-05T05:09:56.873325Z
bank_D_DATA	4	0.979000	0.972380	0.205211	2026-01-05T05:09:56.873329Z
bank_D_DATA	5	0.985200	0.980782	0.189178	2026-01-05T05:09:56.873333Z
bank_D_DATA	6	0.987133	0.982548	0.173672	2026-01-05T05:09:56.873337Z
bank_D_DATA	7	0.987667	0.984981	0.161223	2026-01-05T05:09:56.873340Z
bank_D_DATA	8	0.989667	0.986407	0.147698	2026-01-05T05:09:56.873344Z
bank_D_DATA	9	0.991200	0.988633	0.137093	2026-01-05T05:09:56.873351Z
bank_D_DATA	10	0.991067	0.991007	0.125506	2026-01-05T05:09:56.873356Z
