bank	round	acc	pr_auc	loss	timestamp
bank_M	1	0.950400	0.596836	0.190315	2026-01-05T08:06:49.746545Z
bank_M	2	0.951500	0.612061	0.183869	2026-01-05T08:06:49.747371Z
bank_M	3	0.951867	0.625374	0.180394	2026-01-05T08:06:49.747382Z
bank_M	4	0.952367	0.640289	0.175314	2026-01-05T08:06:49.747386Z
bank_M	5	0.952200	0.653502	0.171257	2026-01-05T08:06:49.747391Z
bank_M	6	0.952733	0.670804	0.166058	2026-01-05T08:06:49.747394Z
bank_M	7	0.953267	0.670018	0.165333	2026-01-05T08:06:49.747398Z
bank_M	8	0.952667	0.674806	0.161813	2026-01-05T08:06:49.747402Z
bank_M	9	0.952900	0.678364	0.160182	2026-01-05T08:06:49.747406Z
bank_M	10	0.954267	0.695084	0.156317	2026-01-05T08:06:49.747410Z
